Title,Price (INR ₹),Rating,Availability
A Light in the Attic,5435.85,Three,In stock
Tipping the Velvet,5642.7,One,In stock
Soumission,5260.5,One,In stock
Sharp Objects,5021.1,Four,In stock
Sapiens: A Brief History of Humankind,5694.15,Five,In stock
The Requiem Red,2378.25,One,In stock
The Dirty Little Secrets of Getting Your Dream Job,3500.7,Four,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",1882.65,Three,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2373.0,Four,In stock
The Black Maria,5475.75,One,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",1468.95,Two,In stock
Shakespeare's Sonnets,2169.3,Four,In stock
Set Me Free,1833.3,Five,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5490.45,Five,In stock
Rip it Up and Start Again,3677.1,Five,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",6011.25,Three,In stock
Olio,2507.4,One,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,3946.95,One,In stock
Libertarianism for Beginners,5389.65,Two,In stock
It's Only the Himalayas,4742.85,Two,In stock
